,VoltageP1,VoltageP2,TimeIndex
49,0.518,67.4045,1772664449.5330815
50,0.8260000000000001,0.8210000000000001,1772664449.6347795
51,0.17600000000000002,0.6845,1772664449.7378724
52,0.35700000000000004,4.3305,1772664449.8397884
53,143.265,2.004,1772664449.9429593
54,0.44949999999999996,0.6205,1772664450.0448036
55,0.518,140.381,1772664450.1477432
56,0.1515,0.0,1772664450.2500503
57,0.0,0.0,1772664450.351817
58,0.0,0.0,1772664450.4541051
59,0.42500000000000004,0.0,1772664450.5567117
60,0.5375,0.0,1772664450.6588542
61,143.265,0.0,1772664450.7616053
62,0.513,66.315,1772664450.8639758
63,0.6940000000000001,0.0,1772664450.9664865
64,0.44499999999999995,0.0,1772664451.0680053
65,0.033999999999999996,1.1195,1772664451.1744497
66,0.6795,0.0,1772664451.2776365
67,0.6645,0.0,1772664451.3797407
68,0.1955,0.0,1772664451.4826775
69,0.0,0.0,1772664451.5854225
70,143.86100000000002,0.0,1772664451.688076
71,0.6305,0.0,1772664451.7898204
72,0.601,0.0,1772664451.8926387
73,0.5569999999999999,0.0,1772664451.9939368
74,0.567,0.0,1772664452.0972755
75,0.0,0.0,1772664452.2000332
76,0.0,0.0,1772664452.301392
77,0.044000000000000004,0.0,1772664452.4037037
78,0.5475,140.137,1772664452.5077744
79,0.5425,140.137,1772664452.6081953
80,0.5425,0.0,1772664452.7110834
81,0.5720000000000001,140.137,1772664452.8138847
82,1.1195,0.0,1772664452.9167142
83,0.0,0.0,1772664453.018098
84,0.0,0.0,1772664453.1212933
85,0.5085,0.0,1772664453.2230947
86,0.5035,140.137,1772664453.3261273
87,143.265,0.0,1772664453.4282775
88,0.0,0.0,1772664453.530476
89,0.20049999999999998,0.0,1772664453.6329536
90,0.0,0.0,1772664453.735734
91,0.078,140.137,1772664453.8377604
92,0.489,0.0,1772664453.9405556
93,0.489,0.0,1772664454.0426183
94,0.4935,64.2815,1772664454.1453505
95,0.4935,0.0,1772664454.2473676
96,0.45449999999999996,0.0,1772664454.3497093
97,0.0,0.0,1772664454.4524214
98,0.381,0.0,1772664454.5542893
99,0.484,140.137,1772664454.656881
100,0.46449999999999997,0.0,1772664454.7593217
101,143.72899999999998,0.0,1772664454.859953
102,0.489,0.0,1772664454.9603777
103,1.1195,0.0,1772664455.0619678
104,0.45949999999999996,0.0,1772664455.164864
105,0.0,143.265,1772664455.2675505
106,0.0,0.0,1772664455.3690598
107,0.489,0.0,1772664455.471637
108,0.46449999999999997,0.0,1772664455.574443
109,0.43999999999999995,0.0,1772664455.6760573
110,0.4985,0.0,1772664455.7784066
111,140.137,0.0,1772664455.8817463
112,143.265,0.0,1772664455.9844918
113,0.0,0.0,1772664456.0865119
114,0.0,0.0,1772664456.1871564
115,143.265,0.0,1772664456.2874615
116,0.8115,0.0,1772664456.3895826
117,0.7284999999999999,0.0,1772664456.4921484
118,0.6645,6.7255,1772664456.5945783
119,1.1195,0.0,1772664456.6970391
120,0.6205,0.0,1772664456.7989254
121,0.0,0.0,1772664456.9014294
122,0.3275,0.0,1772664457.0041788
123,0.5815,0.0,1772664457.106975
124,0.479,0.0,1772664457.2091277
125,0.528,0.0,1772664457.3117738
126,0.518,0.0,1772664457.4133008
127,28.778000000000002,0.4935,1772664457.5168583
128,0.0,143.3185,1772664457.618633
129,0.0,0.8260000000000001,1772664457.7203462
130,0.484,1.6470000000000002,1772664457.823297
131,0.518,2.488,1772664457.9249966
132,143.265,1.6664999999999999,1772664458.027781
133,0.4935,1.8179999999999998,1772664458.130256
134,0.259,1.9794999999999998,1772664458.2332792
135,143.265,2.009,1772664458.335333
136,0.1175,63.650999999999996,1772664458.4373865
137,0.5085,1.6520000000000001,1772664458.5404003
138,0.46449999999999997,1.471,1772664458.642745
139,0.5325,1.4665,1772664458.7450984
140,0.01,140.4055,1772664458.8474774
141,0.36150000000000004,1.4124999999999999,1772664458.9497867
142,0.0,1.339,1772664459.0524893
143,0.2345,1.212,1772664459.1537323
144,0.479,1.0605,1772664459.2568562
145,0.479,1.041,1772664459.3593743
146,0.469,1.095,1772664459.461058
147,0.489,1.124,1772664459.5633225
148,0.0,1.1484999999999999,1772664459.66623
149,0.0,0.953,1772664459.7683468
150,0.11249999999999999,0.953,1772664459.871455
151,143.72899999999998,0.875,1772664459.9737942
152,143.265,1.08,1772664460.0761447
