,VoltageP1,VoltageP2,TimeIndex
88,0.601,1.041,1772668171.5259585
89,0.6255,140.567,1772668171.628792
90,0.5865,0.0,1772668171.7304623
91,0.518,0.0,1772668171.832682
92,0.44499999999999995,140.4935,1772668171.9359965
93,50.6795,140.655,1772668172.038736
94,0.37650000000000006,1.2315,1772668172.1405456
95,0.396,140.137,1772668172.2433825
96,1.1195,0.0,1772668172.3446355
97,0.3175,140.137,1772668172.4475696
98,0.303,0.0,1772668172.5500782
99,0.254,0.42500000000000004,1772668172.6525621
100,0.22499999999999998,1.085,1772668172.753939
101,24.868000000000002,0.953,1772668172.8568187
102,0.1905,1.349,1772668172.9594524
103,0.1565,0.0,1772668173.0613835
104,0.254,0.948,1772668173.164254
105,0.1515,1.168,1772668173.2673206
106,0.0295,1.139,1772668173.3689554
107,0.0,1.124,1772668173.4717252
108,0.0,1.0995000000000001,1772668173.5733826
109,143.265,1.129,1772668173.6766737
110,0.0,1.085,1772668173.7788906
111,0.5915,140.733,1772668173.880961
112,0.0,0.0,1772668173.982707
113,0.0,0.0295,1772668174.0859005
114,0.0,0.0,1772668174.1877606
115,0.0,1.051,1772668174.2905197
116,0.0,1.134,1772668174.3934636
117,143.2895,1.134,1772668174.495397
118,1.9015000000000002,1.134,1772668174.5978441
119,1.002,1.124,1772668174.7002153
120,0.166,1.1195,1772668174.8024514
121,143.265,140.137,1772668174.905555
122,143.265,1.129,1772668175.0072727
123,0.0,1.1145,1772668175.1090055
124,0.0,1.1045,1772668175.2122903
125,143.265,1.1095,1772668175.3151355
126,0.0,0.0,1772668175.4180737
127,0.0,1.1095,1772668175.5188491
128,0.0,1.1095,1772668175.6203415
129,0.0,1.0995000000000001,1772668175.7231412
130,60.6845,1.0995000000000001,1772668175.827068
131,0.0,1.095,1772668175.9292378
132,0.0,1.1045,1772668176.0310993
133,1.1195,1.1045,1772668176.1334944
134,0.0,1.0995000000000001,1772668176.2362368
135,0.0,1.095,1772668176.3391197
136,0.0,1.09,1772668176.4416888
137,0.0,1.095,1772668176.5426855
138,61.178,1.0995000000000001,1772668176.6459734
139,0.0,1.095,1772668176.7486827
140,0.0,1.095,1772668176.8505652
141,59.433,1.095,1772668176.952869
142,0.0,1.095,1772668177.0555384
143,0.0,1.095,1772668177.1569378
144,0.0,1.085,1772668177.2601714
145,0.0,1.095,1772668177.3625119
146,0.0,1.0995000000000001,1772668177.4650927
147,0.0,1.09,1772668177.5682127
148,0.0,1.0995000000000001,1772668177.6694207
149,0.0,1.09,1772668177.7723982
150,0.0,0.078,1772668177.8743918
151,0.0,1.085,1772668177.9762254
152,0.0,1.095,1772668178.0791538
153,0.0,1.0995000000000001,1772668178.1808548
154,59.433,1.09,1772668178.284711
155,0.0,140.1415,1772668178.3865764
156,0.0,1.09,1772668178.4887173
157,0.0,1.09,1772668178.5909026
158,0.0,1.085,1772668178.6936638
159,143.265,1.085,1772668178.7967627
160,143.265,1.09,1772668178.8985136
161,0.0,140.1415,1772668179.0011802
162,0.0,1.095,1772668179.1023693
163,0.0,140.1415,1772668179.2060459
164,0.0,1.09,1772668179.3081536
165,0.0,1.0995000000000001,1772668179.410785
166,0.0,1.08,1772668179.512419
167,0.0,140.601,1772668179.6163244
168,0.0,1.09,1772668179.716998
169,0.0,1.095,1772668179.8197918
170,0.0,1.09,1772668179.922491
171,0.0,0.0,1772668180.0247684
172,0.0,1.085,1772668180.12708
